# genome_length_bp=4641652
old_locus_tag,locus_tag,start,end,strand,biotype
EG10439,hha,480090,480308,-,protein_coding
EG12429,tomB,480334,480708,-,protein_coding
EG11704,acrB,481254,484403,-,protein_coding
EG11703,acrA,484426,485619,-,protein_coding
EG12116,acrR,485761,486408,+,protein_coding
G6255,mscK,486536,489898,+,protein_coding
EG12830,ybaM,490110,490271,-,protein_coding
EG10765,priC,490285,490812,-,protein_coding
EG12843,ybaN,490882,491259,+,protein_coding
EG10051,apt,491412,491963,+,protein_coding
EG10245,dnaX,492092,494023,+,protein_coding
EG11100,ybaB,494076,494405,+,protein_coding
EG10834,recR,494405,495010,+,protein_coding
EG10461,htpG,495120,496994,+,protein_coding
EG10032,adk,497175,497819,+,protein_coding
EG10431,hemH,498055,499017,+,protein_coding
EG11101,aes,499014,499973,-,protein_coding
EG11102,gsk,500125,501429,+,protein_coding
EG12623,ybaL,501562,503238,-,protein_coding
G6256,fsr,503476,504696,-,protein_coding
EG11060,ushA,504914,506566,+,protein_coding
EG12454,ybaK,506603,507082,-,protein_coding
G0-9382,chiX,507204,507287,+,protein_coding
G6258,ybaP,507286,508080,-,protein_coding
G6259,ybaQ,508218,508559,+,protein_coding
G6260,copA,508875,511379,-,protein_coding
G6261,glsA,511641,512573,+,protein_coding
G6262,ybaT,512576,513868,+,protein_coding
G6263,cueR,513993,514400,+,protein_coding
G6264,ybbJ,514401,514859,-,protein_coding
G6265,qmcA,514856,515773,-,protein_coding
G6266,fetA,515919,516596,+,protein_coding
G6267,fetB,516583,517362,+,protein_coding
G6268,cnoX,517425,518279,-,protein_coding
G6269,ybbO,518340,519149,-,protein_coding
EG11542,tesA,519139,519765,-,protein_coding
EG11657,ybbA,519733,520419,+,protein_coding
G6270,ybbP,520416,522830,+,protein_coding
EG10849,rhsD,523261,527541,+,protein_coding
EG11769,ybbC,527581,527949,+,protein_coding
G6271,ylbH,527949,528659,+,protein_coding
EG11770,ybbD,528640,529130,+,protein_coding
G0-16713,ylbI,529497,529592,+,protein_coding
G6273,ylbG,529645,530016,-,protein_coding
EG11768,selU,530132,531226,-,protein_coding
G6274,allS,531295,532221,-,protein_coding
G6275,allA,532451,532933,+,protein_coding
G6276,allR,533011,533826,+,protein_coding
G0-17106,allZ,533629,533863,+,protein_coding
EG11583,gcl,533916,535697,+,protein_coding
G6277,hyi,535710,536486,+,protein_coding
G6278,glxR,536586,537464,+,protein_coding
G6280,allW,537633,539087,+,protein_coding
G6281,allB,539147,540508,+,protein_coding
G6282,ybbY,540565,541866,+,protein_coding
G6283,glxK,541888,543033,+,protein_coding
G6284,allE,543261,544046,-,protein_coding
G6285,allC,544057,545292,-,protein_coding
G6286,allD,545314,546363,-,protein_coding
G6287,allF,546680,548347,+,protein_coding
G6288,allG,548357,549616,+,protein_coding
G6289,allH,549627,550442,+,protein_coding
EG12384,allK,550439,551332,+,protein_coding
EG10796,purK,551527,552594,-,protein_coding
EG10793,purE,552591,553100,-,protein_coding
EG12666,lpxH,553218,553940,-,protein_coding
EG10758,ppiB,553943,554437,-,protein_coding
EG10196,cysS,554611,555996,+,protein_coding
EG12708,ybcI,556032,556553,-,protein_coding
EG12879,ybcJ,556661,556873,-,protein_coding
EG10328,folD,556875,557741,-,protein_coding
G6290,sfmA,558212,558754,+,protein_coding
G6291,sfmC,558974,559666,+,protein_coding
G6292,sfmD,559697,562300,+,protein_coding
G6293,sfmH,562336,563319,+,protein_coding
EG12388,sfmF,563330,563845,+,protein_coding
EG11103,fimZ,563848,564480,-,protein_coding
EG30014,argU,564723,564799,+,protein_coding
EG10507,intD,564815,565978,-,protein_coding
G0-16717,xisD,565858,566079,-,protein_coding
G6294,null,565972,566532,+,protein_coding
G6295,exoD,566098,566361,-,protein_coding
G0-10555,peaD,566376,566687,+,protein_coding
G0-10530,insEF3,566842,568004,+,protein_coding
G6296,insE3,566842,567141,+,protein_coding
G6297,insF3,567138,568004,+,protein_coding
EG10629,emrE,568315,568647,+,protein_coding
G0-16728,ylcJ,568695,568844,+,protein_coding
G6300,ybcK,568902,570428,+,protein_coding
G6301,ybcL,570893,571444,+,protein_coding
G6302,ybcM,571454,572251,+,protein_coding
G0-10584,ylcH,572368,572469,+,protein_coding
G6303,ybcN,572466,572921,+,protein_coding
G6304,ninE,572921,573091,+,protein_coding
G6305,ybcO,573084,573374,+,protein_coding
G6306,rusA,573371,573733,+,protein_coding
G0-10435,ylcG,573730,573870,+,protein_coding
G6307,quuD,573956,574339,+,protein_coding
G0-17079,ipeX,574367,574515,-,protein_coding
G6308,insH2,574737,575717,-,protein_coding
G6309,essD,577398,577613,+,protein_coding
G6310,rrrD,577613,578110,+,protein_coding
G6311,rzpD,578107,578568,+,protein_coding
G0-10436,rzoD,578327,578509,+,protein_coding
G6312,borD,578600,578893,-,protein_coding
G6313,ybcV,579184,579594,-,protein_coding
G6314,ybcW,579880,580086,+,protein_coding
G0-10585,ylcI,580251,580445,-,protein_coding
