arm	design	medium	lineage_seed	generation	agent_id	objective_titer	growth_rate
reference|medium_b	reference	medium_b	3	5	35	1.004837	1.002231
reference|medium_b	reference	medium_b	3	6	36	1.046885	1.025491
reference|medium_b	reference	medium_b	3	7	37	0.982622	0.972249
reference|medium_b	reference	medium_b	3	8	38	0.999153	1.000912
moderate|medium_b	moderate	medium_b	0	5	05	1.478679	0.925171
moderate|medium_b	moderate	medium_b	0	6	06	1.559964	0.938211
moderate|medium_b	moderate	medium_b	0	7	07	1.42683	0.989701
moderate|medium_b	moderate	medium_b	0	8	08	1.44884	0.939088
moderate|medium_b	moderate	medium_b	1	5	15	1.431577	0.873187
moderate|medium_b	moderate	medium_b	1	6	16	1.446701	0.867688
moderate|medium_b	moderate	medium_b	1	7	17	1.437963	0.914132
moderate|medium_b	moderate	medium_b	1	8	18	1.431737	0.925552
moderate|medium_b	moderate	medium_b	2	5	25	1.462685	0.924347
moderate|medium_b	moderate	medium_b	2	6	26	1.457032	0.951424
moderate|medium_b	moderate	medium_b	2	7	27	1.313554	0.962017
moderate|medium_b	moderate	medium_b	2	8	28	1.380312	0.932844
moderate|medium_b	moderate	medium_b	3	5	35	1.518883	0.909041
moderate|medium_b	moderate	medium_b	3	6	36	1.46602	0.973867
moderate|medium_b	moderate	medium_b	3	7	37	1.337919	0.902683
moderate|medium_b	moderate	medium_b	3	8	38	1.414545	0.90625
strong|medium_b	strong	medium_b	0	5	05	1.790189	0.651192
strong|medium_b	strong	medium_b	0	6	06	1.7769	0.640422
strong|medium_b	strong	medium_b	0	7	07	1.780007	0.6694
strong|medium_b	strong	medium_b	0	8	08	1.734935	0.616444
strong|medium_b	strong	medium_b	1	5	15	1.685258	0.583803
strong|medium_b	strong	medium_b	1	6	16	1.759453	0.595364
strong|medium_b	strong	medium_b	1	7	17	1.609657	0.608686
strong|medium_b	strong	medium_b	1	8	18	1.5825	0.591616
strong|medium_b	strong	medium_b	2	5	25	1.66584	0.60505
strong|medium_b	strong	medium_b	2	6	26	1.680815	0.548966
strong|medium_b	strong	medium_b	2	7	27	1.750268	0.583382
strong|medium_b	strong	medium_b	2	8	28	1.80053	0.693613
strong|medium_b	strong	medium_b	3	5	35	1.710044	0.65506
strong|medium_b	strong	medium_b	3	6	36	1.659243	0.613124
strong|medium_b	strong	medium_b	3	7	37	1.670401	0.612052
strong|medium_b	strong	medium_b	3	8	38	1.398843	0.622386
